Samples;2048;Curves ;40;SampleDist;4.883E-04;Stímulus;Flimmer 4Hz
Point;Curve_1;Curve_2;Curve_3;Curve_4;Curve_5;Curve_6;Curve_7;Curve_8;Curve_9;Curve_10;Curve_11;Curve_12;Curve_13;Curve_14;Curve_15;Curve_16;Curve_17;Curve_18;Curve_19;Curve_20;Curve_21;Curve_22;Curve_23;Curve_24;Curve_25;Curve_26;Curve_27;Curve_28;Curve_29;Curve_30;Curve_31;Curve_32;Curve_33;Curve_34;Curve_35;Curve_36;Curve_37;Curve_38;Curve_39;Curve_40;
21;-1.104E-04;2.314E-05;-1.039E-04;1.619E-05;1.098E-05;1.084E-04;2.960E-05;-3.271E-05;8.254E-06;2.608E-05;-1.337E-05;-1.415E-05;6.828E-06;-9.775E-05;8.014E-05;3.651E-05;-2.878E-05;-4.115E-05;7.400E-05;-1.079E-04;1.369E-04;-1.374E-04;-1.382E-06;1.992E-05;3.816E-05;-6.544E-05;9.681E-05;-5.131E-05;8.908E-05;7.999E-05;-3.374E-05;7.396E-06;-2.352E-05;-3.294E-06;2.743E-05;-1.062E-05;4.563E-05;7.507E-05;-7.376E-05;-6.392E-06;
22;-1.100E-04;2.280E-05;-1.069E-04;1.792E-05;9.071E-06;1.107E-04;2.887E-05;-3.274E-05;6.164E-06;5.845E-05;-1.486E-05;-1.175E-05;4.920E-06;-9.617E-05;7.978E-05;3.709E-05;-2.953E-05;-4.415E-05;7.134E-05;-1.117E-04;1.380E-04;-1.449E-04;-2.926E-06;1.986E-05;3.934E-05;-6.714E-05;9.563E-05;-5.406E-05;9.490E-05;7.641E-05;-3.265E-05;7.578E-06;-2.318E-05;-2.718E-06;2.246E-05;-9.775E-06;4.166E-05;7.613E-05;-7.300E-05;-5.362E-06;
23;-1.095E-04;2.111E-05;-1.096E-04;2.007E-05;6.739E-06;1.120E-04;2.715E-05;-3.284E-05;4.256E-06;8.868E-05;-1.595E-05;-9.179E-06;5.011E-06;-9.336E-05;8.014E-05;3.554E-05;-2.887E-05;-4.612E-05;6.955E-05;-1.147E-04;1.395E-04;-1.519E-04;-3.896E-06;1.946E-05;3.980E-05;-6.832E-05;9.466E-05;-5.849E-05;8.763E-05;7.423E-05;-3.068E-05;8.032E-06;-2.252E-05;-2.476E-06;1.892E-05;-8.231E-06;3.797E-05;7.667E-05;-7.382E-05;-5.544E-06;
24;-1.094E-04;1.863E-05;-1.118E-04;2.158E-05;5.316E-06;1.124E-04;2.566E-05;-3.362E-05;1.894E-06;1.107E-04;-1.658E-05;-5.636E-06;3.708E-06;-8.882E-05;8.051E-05;3.155E-05;-2.750E-05;-4.733E-05;6.934E-05;-1.151E-04;1.416E-04;-1.564E-04;-3.865E-06;1.943E-05;4.031E-05;-6.829E-05;9.284E-05;-6.463E-05;6.882E-05;7.332E-05;-2.935E-05;7.547E-06;-2.240E-05;-2.839E-06;1.601E-05;-6.595E-06;3.639E-05;7.801E-05;-7.545E-05;-6.785E-06;
25;-1.094E-04;1.651E-05;-1.134E-04;2.182E-05;3.802E-06;1.120E-04;2.433E-05;-3.432E-05;-5.592E-07;1.238E-04;-1.695E-05;2.096E-07;5.586E-07;-8.470E-05;8.251E-05;2.664E-05;-2.538E-05;-4.693E-05;7.025E-05;-1.131E-04;1.434E-04;-1.591E-04;-2.412E-06;2.001E-05;3.968E-05;-6.571E-05;9.136E-05;-7.102E-05;4.051E-05;7.226E-05;-2.899E-05;6.457E-06;-2.152E-05;-3.596E-06;1.244E-05;-5.141E-06;3.558E-05;7.946E-05;-7.679E-05;-7.664E-06;
26;-1.100E-04;1.463E-05;-1.139E-04;2.082E-05;1.651E-06;1.100E-04;2.273E-05;-3.483E-05;-2.285E-06;1.232E-04;-1.716E-05;6.206E-06;-1.137E-06;-8.130E-05;8.372E-05;2.261E-05;-2.335E-05;-4.433E-05;7.155E-05;-1.096E-04;1.444E-04;-1.599E-04;-4.429E-07;2.049E-05;3.774E-05;-6.138E-05;8.997E-05;-7.684E-05;1.246E-05;7.063E-05;-2.923E-05;4.216E-06;-2.070E-05;-4.990E-06;1.032E-05;-4.021E-06;3.291E-05;8.025E-05;-7.751E-05;-8.724E-06;
27;-1.120E-04;1.308E-05;-1.129E-04;2.049E-05;-4.990E-07;1.071E-04;2.139E-05;-3.532E-05;-3.860E-06;1.086E-04;-1.695E-05;1.151E-05;-1.531E-06;-7.731E-05;8.293E-05;1.755E-05;-2.142E-05;-4.127E-05;7.346E-05;-1.050E-04;1.443E-04;-1.589E-04;1.374E-06;2.089E-05;3.556E-05;-5.727E-05;8.839E-05;-8.105E-05;-6.074E-06;6.887E-05;-2.978E-05;2.005E-06;-2.003E-05;-8.109E-06;9.288E-06;-3.143E-06;2.852E-05;8.037E-05;-7.821E-05;-1.042E-05;
28;-1.148E-04;1.160E-05;-1.097E-04;2.055E-05;-1.892E-06;1.039E-04;2.030E-05;-3.605E-05;-5.011E-06;8.295E-05;-1.634E-05;1.502E-05;-1.440E-06;-7.394E-05;8.057E-05;1.228E-05;-2.120E-05;-3.706E-05;7.537E-05;-1.004E-04;1.441E-04;-1.555E-04;1.405E-06;2.152E-05;3.374E-05;-5.478E-05;8.697E-05;-8.171E-05;-1.498E-05;6.693E-05;-3.038E-05;7.331E-07;-1.922E-05;-1.162E-05;8.986E-06;-2.537E-06;2.398E-05;8.055E-05;-7.836E-05;-1.190E-05;
29;-1.166E-04;1.033E-05;-1.056E-04;2.107E-05;-3.134E-06;1.012E-04;1.948E-05;-3.629E-05;-7.313E-06;5.252E-05;-1.565E-05;1.632E-05;-1.259E-06;-7.189E-05;7.827E-05;1.032E-05;-2.251E-05;-3.570E-05;7.867E-05;-9.648E-05;1.436E-04;-1.504E-04;6.171E-07;2.216E-05;3.286E-05;-5.405E-05;8.697E-05;-7.769E-05;-1.840E-05;6.475E-05;-3.062E-05;1.880E-07;-1.900E-05;-1.462E-05;8.380E-06;-2.537E-06;2.095E-05;8.082E-05;-7.800E-05;-1.342E-05;
30;-1.170E-04;9.782E-06;-1.023E-04;2.152E-05;-4.588E-06;9.854E-05;1.900E-05;-3.598E-05;-1.031E-05;2.665E-05;-1.534E-05;1.417E-05;-1.985E-07;-7.098E-05;7.645E-05;1.192E-05;-2.354E-05;-3.703E-05;8.024E-05;-9.260E-05;1.435E-04;-1.457E-04;1.738E-06;2.249E-05;3.159E-05;-5.393E-05;8.703E-05;-6.957E-05;-1.919E-05;6.136E-05;-3.017E-05;-6.298E-07;-1.906E-05;-1.735E-05;6.987E-06;-2.840E-06;1.892E-05;8.091E-05;-7.754E-05;-1.466E-05;
31;-1.179E-04;9.085E-06;-1.001E-04;2.125E-05;-5.012E-06;9.788E-05;1.873E-05;-3.511E-05;-1.295E-05;9.995E-06;-1.507E-05;9.719E-06;1.588E-06;-7.113E-05;7.578E-05;1.601E-05;-2.372E-05;-3.824E-05;8.018E-05;-9.269E-05;1.445E-04;-1.417E-04;3.555E-06;2.340E-05;2.999E-05;-5.527E-05;8.609E-05;-6.000E-05;-1.904E-05;5.715E-05;-2.835E-05;-2.719E-06;-1.979E-05;-2.013E-05;4.503E-06;-3.900E-06;1.716E-05;8.079E-05;-7.624E-05;-1.605E-05;
32;-1.165E-04;9.448E-06;-1.019E-04;2.052E-05;-5.072E-06;9.939E-05;1.930E-05;-3.529E-05;-1.449E-05;1.939E-06;-1.562E-05;4.540E-06;3.284E-06;-7.255E-05;7.618E-05;2.128E-05;-2.296E-05;-4.054E-05;8.106E-05;-9.605E-05;1.430E-04;-1.398E-04;5.584E-06;2.431E-05;2.853E-05;-5.890E-05;8.545E-05;-5.149E-05;-1.837E-05;5.194E-05;-2.602E-05;-5.536E-06;-1.982E-05;-2.246E-05;1.566E-06;-5.687E-06;1.559E-05;8.006E-05;-7.391E-05;-1.663E-05;
33;-1.133E-04;1.284E-05;-1.063E-04;1.895E-05;-5.708E-06;1.021E-04;1.967E-05;-3.559E-05;-1.576E-05;2.732E-07;-1.764E-05;-1.002E-06;4.708E-06;-7.425E-05;7.521E-05;2.709E-05;-2.278E-05;-4.457E-05;8.215E-05;-9.966E-05;1.409E-04;-1.422E-04;5.372E-06;2.591E-05;2.838E-05;-6.347E-05;8.491E-05;-4.549E-05;-1.807E-05;4.570E-05;-2.429E-05;-8.746E-06;-1.867E-05;-2.431E-05;-1.039E-06;-7.201E-06;1.359E-05;7.964E-05;-7.249E-05;-1.590E-05;
34;-1.094E-04;1.632E-05;-1.100E-04;1.907E-05;-8.464E-06;1.046E-04;1.927E-05;-3.629E-05;-1.673E-05;2.969E-06;-2.043E-05;-6.060E-06;6.646E-06;-7.585E-05;7.272E-05;3.233E-05;-2.384E-05;-4.933E-05;8.188E-05;-1.044E-04;1.397E-04;-1.467E-04;3.131E-06;2.552E-05;2.935E-05;-6.571E-05;8.361E-05;-4.340E-05;-1.710E-05;4.025E-05;-2.302E-05;-1.184E-05;-1.673E-05;-2.604E-05;-4.401E-06;-8.715E-06;1.077E-05;8.013E-05;-7.152E-05;-1.475E-05;
35;-1.050E-04;1.817E-05;-1.145E-04;2.134E-05;-1.061E-05;1.058E-04;1.845E-05;-3.741E-05;-1.725E-05;8.238E-06;-2.222E-05;-9.754E-06;7.979E-06;-7.640E-05;7.100E-05;3.573E-05;-2.475E-05;-5.414E-05;7.939E-05;-1.093E-04;1.390E-04;-1.514E-04;2.404E-06;2.485E-05;2.896E-05;-6.835E-05;8.306E-05;-4.310E-05;-1.528E-05;3.622E-05;-2.239E-05;-1.402E-05;-1.501E-05;-2.664E-05;-7.853E-06;-9.866E-06;6.745E-06;8.025E-05;-7.152E-05;-1.418E-05;
36;-1.002E-04;1.911E-05;-1.190E-04;2.213E-05;-1.061E-05;1.083E-04;1.546E-05;-3.744E-05;-1.719E-05;1.526E-05;-2.282E-05;-1.072E-05;6.495E-06;-7.591E-05;6.985E-05;3.742E-05;-2.463E-05;-5.717E-05;7.627E-05;-1.134E-04;1.385E-04;-1.556E-04;2.010E-06;2.519E-05;2.787E-05;-7.535E-05;8.003E-05;-4.598E-05;-1.322E-05;3.510E-05;-2.193E-05;-1.444E-05;-1.352E-05;-2.722E-05;-1.106E-05;-1.026E-05;1.930E-06;8.022E-05;-7.227E-05;-1.393E-05;
37;-9.662E-05;2.041E-05;-1.227E-04;2.134E-05;-1.143E-05;1.127E-04;1.161E-05;-3.847E-05;-1.622E-05;2.296E-05;-2.207E-05;-8.573E-06;2.739E-06;-7.419E-05;6.724E-05;3.757E-05;-2.360E-05;-5.762E-05;7.306E-05;-1.160E-04;1.381E-04;-1.583E-04;7.988E-07;2.522E-05;2.732E-05;-8.174E-05;7.622E-05;-5.461E-05;-1.398E-05;3.610E-05;-2.081E-05;-1.399E-05;-1.119E-05;-2.716E-05;-1.376E-05;-1.038E-05;-2.462E-06;8.019E-05;-7.224E-05;-1.339E-05;
38;-9.513E-05;2.144E-05;-1.244E-04;2.095E-05;-1.428E-05;1.150E-04;9.944E-06;-4.004E-05;-1.485E-05;2.998E-05;-2.095E-05;-3.667E-06;-1.228E-06;-6.998E-05;6.445E-05;3.627E-05;-2.420E-05;-5.553E-05;7.100E-05;-1.170E-04;1.381E-04;-1.598E-04;-6.246E-07;2.322E-05;2.696E-05;-8.046E-05;7.413E-05;-6.503E-05;-1.619E-05;3.689E-05;-2.178E-05;-1.523E-05;-8.979E-06;-2.522E-05;-1.397E-05;-9.351E-06;-5.823E-06;8.031E-05;-7.164E-05;-1.302E-05;
39;-9.550E-05;2.120E-05;-1.241E-04;2.110E-05;-1.885E-05;1.134E-04;8.521E-06;-3.880E-05;-1.410E-05;3.559E-05;-2.116E-05;1.875E-06;-5.408E-06;-6.577E-05;6.233E-05;3.430E-05;-2.587E-05;-5.217E-05;6.946E-05;-1.156E-04;1.379E-04;-1.588E-04;-6.246E-07;2.031E-05;2.611E-05;-6.896E-05;7.419E-05;-7.196E-05;-1.664E-05;3.928E-05;-2.336E-05;-1.865E-05;-9.251E-06;-2.564E-05;-1.358E-05;-7.352E-06;-7.519E-06;8.179E-05;-7.073E-05;-1.336E-05;
40;-9.677E-05;1.990E-05;-1.225E-04;2.046E-05;-2.346E-05;1.091E-04;5.947E-06;-3.744E-05;-1.170E-05;3.828E-05;-2.167E-05;7.024E-06;-8.618E-06;-6.119E-05;5.991E-05;3.255E-05;-2.753E-05;-4.890E-05;6.640E-05;-1.123E-04;1.374E-04;-1.558E-04;-1.473E-06;1.804E-05;2.538E-05;-4.691E-05;7.464E-05;-7.481E-05;-1.622E-05;4.225E-05;-2.405E-05;-2.086E-05;-9.372E-06;-2.831E-05;-1.530E-05;-7.534E-06;-1.055E-05;8.231E-05;-6.870E-05;-1.330E-05;
41;-9.871E-05;1.766E-05;-1.196E-04;1.967E-05;-2.609E-05;1.037E-04;3.494E-06;-3.810E-05;-9.796E-06;4.125E-05;-2.213E-05;1.157E-05;-1.065E-05;-5.683E-05;5.806E-05;3.070E-05;-2.965E-05;-4.669E-05;6.213E-05;-1.078E-04;1.368E-04;-1.521E-04;-2.502E-06;1.668E-05;2.526E-05;-1.762E-05;7.501E-05;-7.475E-05;-1.555E-05;4.437E-05;-2.448E-05;-2.192E-05;-8.433E-06;-3.061E-05;-1.612E-05;-8.140E-06;-1.564E-05;7.979E-05;-6.958E-05;-1.442E-05;
