MouseID,FileName,Condition,NumCurves,RMS_Mean,RMS_Std,PeakToPeak_Mean,PeakToPeak_Std,SignalStd_Mean,SignalStd_Std,Amp4Hz_Mean,Amp4Hz_Std,SNR4Hz_Mean,SNR4Hz_Std,BandEnergy_0_5_Mean,BandEnergy_5_10_Mean,BandEnergy_10_30_Mean,BandEnergy_30_80_Mean,DominantFreq_0_80_Median,SpectralCentroid_0_80_Median
mdx5Cv_701,saw4Hzlow_s1_c1_5cv701.csv,low,40,7.08068796893865e-05,1.13689019905913e-05,0.0003563975,5.04568792163805e-05,7.08241728579333e-05,1.13716786181531e-05,4.85610959839348e-05,2.08804221964678e-05,3.79134632150325,1.63544605062328,8.17737273104749e-09,1.20851671419699e-09,5.60407528662355e-10,1.37418114014331e-10,2.99988480442351,15.7533294741725
mdx5Cv_701,saw4Hzlow_s1_c2_5cv701.csv,low,40,6.01989686470228e-05,9.28213109992808e-06,0.000293029,3.71410795999006e-05,6.02136710448553e-05,9.28439807533298e-06,4.20348486777898e-05,1.76287863374146e-05,3.81966805483027,1.62490339898065,5.90385940379518e-09,9.15369335744191e-10,4.51981446249448e-10,7.24938463400193e-11,2.99988480442351,14.5669203476638
mdx5Cv_702WT,saw4Hzhigh_s1_c1_5cv702WT.csv,high,200,6.36138122262614e-05,6.39650494344013e-06,0.0003212945,4.20220942095797e-05,6.36293486315281e-05,6.39806716216197e-06,2.18660856505828e-05,9.68578003131642e-06,2.26764270825496,1.01550860932549,6.70722719952138e-09,8.7351526702066e-10,3.21939516665037e-10,1.05744482467458e-10,2.99988480442351,16.1901775375336
mdx5Cv_702WT,saw4Hzhigh_s1_c2_5cv702WT.csv,high,200,5.3767772539741e-05,6.18127354147069e-06,0.00031295705,4.55547851388053e-05,5.37809042462645e-05,6.1827831942824e-06,2.07910574059191e-05,1.03326114437619e-05,2.32866630367299,1.13669602137362,4.18502559393846e-09,8.01809540177459e-10,3.60457156012817e-10,1.67882019023197e-10,2.99988480442351,20.1797293058531
mdx5Cv_702WT,saw4Hzlow_s1_c1_5cv702WT.csv,low,80,7.76684137171425e-05,8.87699867418542e-06,0.0003548075,4.10334712865337e-05,7.76873826786773e-05,8.87916670419436e-06,3.14388268866855e-05,1.21488527019717e-05,2.97914397310891,1.27875061892933,1.05620259160216e-08,1.01480775259571e-09,4.19105890523397e-10,1.14074827161727e-10,2.99988480442351,15.1194041697551
mdx5Cv_702WT,saw4Hzlow_s1_c2_5cv702WT.csv,low,80,5.70919300824359e-05,7.06321798553883e-06,0.00032482575,4.24223434314418e-05,5.71058736481437e-05,7.06494303565221e-06,2.59842368765119e-05,9.75382026543318e-06,2.862489017831,1.15236038434474,5.23908319173416e-09,7.03235089338226e-10,3.10728840939189e-10,1.47392150610987e-10,2.99988480442351,18.901460083938
mdx5Cv_710,saw4Hzhigh_s1_c1_5cv710.csv,high,120,6.97787947674024e-05,1.06046726117118e-05,0.000296095083333333,4.23566775860365e-05,6.9795836846711e-05,1.06072625914185e-05,5.57034134185276e-05,2.3573351350449e-05,5.22529346443812,2.25058862380247,8.5801318221288e-09,1.02134497925157e-09,2.28853023126579e-10,5.75595132689982e-11,3.99984640589801,13.1732885991664
mdx5Cv_710,saw4Hzhigh_s1_c2_5cv710.csv,high,120,5.02782119104525e-05,8.67604946491912e-06,0.000223874416666667,3.53801182548065e-05,5.02904913613949e-05,8.67816841694043e-06,3.86552278759835e-05,1.80660945847029e-05,4.61619169301813,2.24254489929891,4.25895340102855e-09,7.03088547123821e-10,1.53426717073719e-10,3.61473449804279e-11,3.99984640589801,14.0939787325429
mdx5Cv_710,saw4Hzlow_s1_c1_5cv710.csv,low,80,0.000102535933532802,2.62410575548255e-05,0.00043444375,9.57783871972896e-05,0.000102560975890335,2.62474664100598e-05,0.000120985441722382,4.02633990692721e-05,9.48341948623213,3.02861135077335,1.89435852616538e-08,2.09833420184508e-09,1.17006475436086e-09,1.04848952239577e-10,3.99984640589801,13.512315649332
mdx5Cv_710,saw4Hzlow_s1_c2_5cv710.csv,low,80,6.72156993482216e-05,1.59437807460177e-05,0.00029865975,6.12726064502118e-05,6.72321154426796e-05,1.59476746965543e-05,7.60041314812128e-05,2.60999707574196e-05,8.68604185027601,3.15601081440837,7.96589933072017e-09,8.08712401587356e-10,6.45676070830208e-10,7.53680029199859e-11,3.99984640589801,14.7530863228855
