MouseID,FileName,Condition,CurveID,CurveIndex,NumCurvesInFile,NumSamples,Fs,MeanVal,MedianVal,StdVal,RMSVal,MinVal,MinTime,MaxVal,MaxTime,PeakToPeak,Energy,AbsArea,BaselineMean,BaselineStd,EndMean,Drift,Amp4Hz,Phase4Hz,NoiseAround4Hz,SNR4Hz,BandAmp_0_5,BandAmp_5_10,BandAmp_10_30,BandAmp_30_80,BandEnergy_0_5,BandEnergy_5_10,BandEnergy_10_30,BandEnergy_30_80,DominantFreq_0_80,DominantAmp_0_80,SpectralCentroid_0_80,LowHighRatio
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_136,136,160,2048,2047.92135981978,-1.02011718752676e-10,3.6665e-06,5.37579837258031e-05,5.37448576156503e-05,-9.849e-05,0.2788193,0.000123,0.5630099,0.00022149,2.88862063889978e-09,4.6459116422504e-05,4.7963786407767e-05,6.97333930142185e-06,-6.22957766990291e-06,-5.41933640776699e-05,1.27783951344457e-05,2.3854595688742,9.50210302570274e-06,1.34479652552516,1.82180098935887e-05,2.51329449113174e-06,2.30026494032423e-06,8.93595012504188e-07,5.50109901978052e-09,3.64276835100519e-11,1.54763953666924e-10,5.5478055403118e-11,1.99992320294901,7.07020555021675e-05,16.2772986225853,26.3387934666223
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_137,137,160,2048,2047.92135981978,-5.11230468725412e-11,1.466e-05,4.77489373227303e-05,4.77372784439798e-05,-0.0001048,0.1049845,8.759e-05,0.8374345,0.00019239,2.27893526099179e-09,4.241188358309e-05,-5.06654368932039e-05,1.42310407606325e-05,-3.68524097087379e-05,1.3813027184466e-05,1.54987008068214e-05,0.905885544650074,8.13606685152225e-06,1.90493774070928,1.80968291467011e-05,3.54383826219954e-06,1.89412532857319e-06,9.09169580763226e-07,4.30207582080387e-09,8.08064137533437e-11,9.4487569010571e-11,5.68308184422629e-11,1.99992320294901,6.03436670289849e-05,16.4205156120602,28.9645949636578
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_138,138,160,2048,2047.92135981978,3.73779296907401e-11,6.791e-06,4.65533369245273e-05,4.65419699760333e-05,-8.962e-05,0.5073437,9.103e-05,0.693386,0.00018065,2.16623814960081e-09,4.0477942550145e-05,-6.81957281553398e-05,4.54921854998988e-06,-5.26916504854369e-05,1.55040776699029e-05,8.70297273919036e-06,2.31560151176791,8.18147116638644e-06,1.06374178457174,1.60817146710699e-05,2.92882847883124e-06,2.28301359386988e-06,7.96798458328364e-07,4.07260469264865e-09,5.36395465478332e-11,1.34349605067517e-10,4.39956827145234e-11,1.99992320294901,6.13364264745709e-05,16.8739483097207,23.1362384351994
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_139,139,160,2048,2047.92135981978,-1.08730468752696e-10,9.521e-06,4.86118346085179e-05,4.85999650358564e-05,-0.0001084,0.4712095,0.0001487,0.2807725,0.0002571,2.36204730061996e-09,4.0902751484252e-05,-5.07791262135922e-05,1.26575683867126e-05,-5.48916504854369e-05,-4.11252427184466e-06,1.25655097926752e-05,-2.37194688294338,8.16336772940916e-06,1.53925563674722,1.80610638930904e-05,3.45401622846852e-06,2.24449394036652e-06,7.62974282826825e-07,4.46235318906933e-09,7.24506889124235e-11,1.27260998443597e-10,3.88056895819627e-11,1.99992320294901,6.25573290166473e-05,15.633342320373,27.3070889081141
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_140,140,160,2048,2047.92135981978,3.039306640615e-10,6.37e-06,5.64110895808651e-05,5.63973156614248e-05,-0.0001021,0.0278331,0.000147,0.3266727,0.0002491,3.18077935105141e-09,4.9278806076265e-05,-8.54264077669903e-05,1.05240529222599e-05,-2.13486504854369e-05,6.40777572815534e-05,1.27229089769629e-05,0.867406516379415,1.03989271346701e-05,1.22348284702111,2.25611624391446e-05,6.39595357419594e-06,2.33056493279894e-06,8.61255929443434e-07,5.86238730570592e-09,2.75636135801966e-10,1.39220822331111e-10,5.67976420620818e-11,1.99992320294901,6.35826065011667e-05,13.85426253207,31.3134607371
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_141,141,160,2048,2047.92135981978,1.44404296873531e-10,9.2095e-06,4.57632505692058e-05,4.57520765366535e-05,-0.0001301,0.4453296,7.82e-05,0.6357666,0.0002083,2.09333288831209e-09,3.5719281792362e-05,-2.88646601941748e-06,1.18329076808053e-05,-2.21217281553398e-05,-1.92352621359223e-05,6.63361417088225e-06,-1.81573022917542,6.88390477041336e-06,0.963641187946001,1.80430354440072e-05,2.72629730520606e-06,1.4556704030954e-06,8.26176348195381e-07,3.99332815970551e-09,5.39345656380143e-11,5.26920988364221e-11,4.9446255310395e-11,1.99992320294901,5.40197348677814e-05,15.9770541265202,39.6252119058169
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_142,142,160,2048,2047.92135981978,-2.82226562494779e-11,1.3015e-05,4.7153423211157e-05,4.71419097393271e-05,-0.0001048,0.5918196,0.0001052,0.3393685,0.00021,2.22244499248157e-09,4.07253157452001e-05,-4.11481553398058e-05,5.02410342163846e-06,-2.03911553398058e-05,2.0757e-05,1.32210028673775e-05,0.995158158560183,7.78806771379194e-06,1.69759731847059,1.74574601530302e-05,3.00923231418364e-06,1.7474605355359e-06,8.30947974207281e-07,4.2652529228273e-09,4.90048592858922e-11,6.74482482303299e-11,4.66734770022805e-11,1.99992320294901,6.09174908888388e-05,16.2127908928429,37.8039271590184
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_143,143,160,2048,2047.92135981978,-1.7261230468956e-10,1.6715e-05,6.3873798328646e-05,6.38582022357818e-05,-0.0001219,0.6386964,0.0001455,0.2856555,0.0002674,4.07802658299373e-09,5.6624311902389e-05,-7.25834951456311e-05,1.56851747606469e-05,6.09111650485437e-05,0.000133494660194175,1.32075288204673e-05,0.89573840225194,1.04794881149249e-05,1.26032194276525,2.68068280608609e-05,5.57391684686821e-06,2.28008784690769e-06,8.83980770082306e-07,7.74438581939197e-09,1.85967840125541e-10,1.44050390884864e-10,4.94371833463544e-11,1.99992320294901,7.44656015083471e-05,13.7863574213583,40.9863247820163
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_144,144,160,2048,2047.92135981978,-3.43287597653902e-10,3.4135e-07,5.94857736836321e-05,5.947124901741e-05,-0.0001169,0.1992264,0.0001731,0.5190629,0.00029,3.53696527394204e-09,4.91548331825879e-05,5.0987572815534e-05,1.32547022707533e-05,3.29668640776699e-05,-1.80207087378641e-05,1.73720868369169e-05,-1.34826813472258,8.70302607537686e-06,1.9960972983436,2.51557692544547e-05,3.24826901675634e-06,1.79658997653108e-06,7.58630651365176e-07,6.874841028599e-09,5.8114760111087e-11,8.34100234561495e-11,3.63712999083264e-11,1.99992320294901,6.75918656866683e-05,12.9822351214688,57.8799995026988
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_145,145,160,2048,2047.92135981978,-1.25575195311846e-10,1.2585e-05,4.92199978275433e-05,4.92079797594429e-05,-0.0001088,0.8354813,0.0001119,0.0991249,0.0002207,2.42151825473619e-09,4.18212254153826e-05,5.84104854368932e-05,7.52931035805558e-06,1.98095679611651e-05,-3.86009174757282e-05,2.02639453580714e-05,0.759337279707492,9.25957701422189e-06,2.18843099705978,1.72614115162448e-05,4.22354694353344e-06,1.93135756974382e-06,8.2339102628148e-07,4.55855851744298e-09,1.0370041403696e-10,1.04334373108671e-10,4.96247814639997e-11,1.99992320294901,6.32496804160212e-05,15.8461591229457,30.2823967848983
