MouseID,FileName,Condition,CurveID,CurveIndex,NumCurvesInFile,NumSamples,Fs,MeanVal,MedianVal,StdVal,RMSVal,MinVal,MinTime,MaxVal,MaxTime,PeakToPeak,Energy,AbsArea,BaselineMean,BaselineStd,EndMean,Drift,Amp4Hz,Phase4Hz,NoiseAround4Hz,SNR4Hz,BandAmp_0_5,BandAmp_5_10,BandAmp_10_30,BandAmp_30_80,BandEnergy_0_5,BandEnergy_5_10,BandEnergy_10_30,BandEnergy_30_80,DominantFreq_0_80,DominantAmp_0_80,SpectralCentroid_0_80,LowHighRatio,OutlierScore,NumStrongFeatures,NumModerateFeatures,IsStrongOutlier,IsModerateOutlier,IsCandidateOutlier,OutlierReason,RZ_RMSVal,RZ_PeakToPeak,RZ_StdVal,RZ_BaselineStd,RZ_Drift,RZ_Amp4Hz,RZ_SNR4Hz,RZ_BandEnergy_0_5,RZ_BandEnergy_5_10,RZ_BandEnergy_10_30,RZ_BandEnergy_30_80
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_033,33,120,2048,2047.92135981978,5.92792968782125e-11,5.096e-06,2.90687005785097e-05,2.90616028613166e-05,-8.204e-05,0.9302115,4.71e-05,0.0024415,0.00012914,8.44609192616504e-10,2.24226805896692e-05,3.73383495145631e-05,7.23483174555192e-06,-5.95079611650485e-05,-9.68463106796116e-05,8.73003978814367e-06,-1.45934340877059,5.66900441242312e-06,1.53995995640268,1.26526516906347e-05,3.4837188458137e-06,2.55751773941559e-06,8.03556703376908e-07,1.36477979222131e-09,9.28448143146822e-11,1.60739671232666e-10,4.04341821384632e-11,1.99992320294901,2.52567251720491e-05,18.5258664090352,7.24558869488405,1.29975679368027,1,1,1,0,1,"BandEnergy_10_30",0.228101733609828,0.0966619302320855,0.228101733604595,0.068855789507059,1.91944873316908,0.251959685248696,0.450407462691225,0.289567427391288,0.515589403353361,3.55154651605326,1.2454320982674
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_034,34,120,2048,2047.92135981978,-3.30097656253096e-10,1.653e-05,5.60360501643907e-05,5.60223678186413e-05,-0.0002056,0.0771514,6.989e-05,0.3691548,0.00027549,3.13862621462586e-09,3.90269488409619e-05,-5.93062233009709e-05,3.3420981156885e-05,7.4643427184466e-06,6.67705660194175e-05,2.61427309777041e-05,1.16886367384834,9.89130666664066e-06,2.64300075391313,2.54200398277143e-05,7.38094514197708e-06,1.79524649675379e-06,7.39720255964517e-07,5.80801728211991e-09,3.30609834502157e-10,8.29182725569923e-11,4.08239833209288e-11,1.99992320294901,5.75111868430824e-05,11.9133784256552,49.6080830098247,4.75654904533224,6,7,1,0,1,"BaselineStd, PeakToPeak, BandEnergy_0_5, BandEnergy_5_10, StdVal, RMSVal, Amp4Hz",5.25926874019261,6.87204422221406,5.25926874019272,7.55057305801707,1.21509694951191,2.81612713479316,0.459738803708325,6.33295390650505,6.07316039751928,1.01619424282045,1.29451181098718
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_035,35,120,2048,2047.92135981978,-1.00493164065553e-10,3.5285e-05,0.000105468682071666,0.000105442929737775,-0.0003473,0.6606699,0.0001183,0.9282583,0.0004656,1.11186383710044e-08,7.3245424435243e-05,1.48418116504854e-05,1.78480071683488e-05,0.000103510485436893,8.86686737864077e-05,3.240168563085e-05,-1.36538520441308,1.77485069312615e-05,1.82560064099666,4.86794307031249e-05,1.30780524353673e-05,2.11312982461238e-06,9.6980149063181e-07,2.0891806985331e-08,1.08292427259654e-09,1.5005341537899e-10,6.77465991045764e-11,1.99992320294901,0.000107464519441977,9.82205766776699,100.893973340958,14.0526914788825,7,9,1,0,1,"BandEnergy_0_5, BandEnergy_5_10, PeakToPeak, StdVal, RMSVal, BandEnergy_30_80, Amp4Hz, BandEnergy_10_30, BaselineStd",15.3179199951936,15.924457796806,15.3179199957129,3.01927808271833,1.63461735929314,3.91894438857123,0.214718263160453,28.8149210155377,23.6579207476704,3.20339776092899,4.68432771654322
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_037,37,120,2048,2047.92135981978,1.27685546881186e-11,-2.6015e-06,2.81133900137389e-05,2.8106525555084e-05,-6.067e-05,0.5429896,7.095e-05,0.0083011,0.00013162,7.90007113886896e-10,2.32815601250411e-05,4.31613980582524e-05,1.8974824186501e-05,-1.25120801941748e-05,-5.56734782524272e-05,2.16985710475369e-06,-2.21232161394243,6.62651756928459e-06,0.327450592561433,1.01316445875581e-05,4.70711334474642e-06,2.26602152125961e-06,8.10664573010535e-07,1.22437883519676e-09,1.38056160034086e-10,1.60662295616077e-10,4.27630250365753e-11,1.99992320294901,2.90948443250774e-05,18.8451478704436,6.69746275303519,1.77381447697631,1,2,1,0,1,"BandEnergy_10_30, BaselineStd",0.422490246647761,0.0214275214800181,0.422490246637203,3.34714996487731,1.13066626321777,1.40785280991645,1.45087895292561,0.498831131010193,1.57236917431903,3.54902568696575,1.5386557865227
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_039,39,120,2048,2047.92135981978,6.68457031253385e-11,3.856e-05,9.62882954843197e-05,9.62647847293875e-05,-0.0003246,0.8940773,9.601e-05,0.4614435,0.00042061,9.26726462829243e-09,7.274412964427e-05,5.15752427184466e-05,3.14777009296379e-06,-4.10935533980582e-05,-9.26687961165048e-05,2.54438014749913e-05,-0.695360163541159,1.41709917158757e-05,1.79548488805395,4.26754772196152e-05,1.14451549127395e-05,4.53021672107526e-06,8.94016074212549e-07,1.71590668563265e-08,7.17077329682175e-10,5.62562126704288e-10,6.06048148630879e-11,0.999961601474503,0.00010197783025434,10.6619744338122,28.6859533522202,12.1511637109221,7,8,1,0,1,"BandEnergy_0_5, BandEnergy_10_30, BandEnergy_5_10, PeakToPeak, StdVal, RMSVal, BandEnergy_30_80, Amp4Hz",13.4498764881558,13.7821818159482,13.4498764886185,1.25807513474848,1.83941658427156,2.69297693520212,0.239567516390689,23.2513761466391,15.1065351963307,16.6425663801619,3.78510848723819
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_040,40,120,2048,2047.92135981978,-1.83535156276842e-11,-3.5945e-06,3.0992101904189e-05,3.09845345492033e-05,-0.0001016,0.0029298,6.313e-05,0.0918004,0.00016473,9.60078246819812e-10,2.57484622830635e-05,-4.06333893203883e-05,3.21889598448005e-05,-1.54184077669903e-05,2.52149815533981e-05,8.19693832102783e-06,-3.10641465802655,3.33702784561265e-06,2.45635898161872,1.07128312171961e-05,4.85644429849282e-06,2.47801517905651e-06,8.23901370100748e-07,1.54419667261763e-09,1.32318386290747e-10,1.74657948689591e-10,4.98088093309182e-11,0.999961601474503,3.66915421663213e-05,19.3505678551522,7.46887162834394,2.67505749635118,2,2,1,0,1,"BaselineStd, BandEnergy_10_30",0.163275832418092,1.59801693526541,0.163275832447394,7.19208970185022,0.418981777854806,0.345891264646583,0.305736057308237,0.0221515800981757,1.43825321015439,4.00499167368868,2.42578770045015
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_050,50,120,2048,2047.92135981978,6.06298828115368e-11,3.1305e-06,3.59425391171342e-05,3.59337630117884e-05,-8.932e-05,0.107426,8.174e-05,0.3579239,0.00017106,1.29128490762382e-09,2.7967921158379e-05,-2.08841359223301e-05,2.08791381710467e-05,1.74813203883495e-05,3.83654563106796e-05,3.49042752961536e-06,2.41948693015163,6.40454098733378e-06,0.544992613271949,1.56797659746634e-05,6.04463941068929e-06,1.07877320370665e-06,5.69338011571324e-07,2.31940060864451e-09,2.05115228207418e-10,2.95803919145287e-11,2.08533584572974e-11,1.99992320294901,3.35356619074834e-05,13.6107950286857,50.0558594910413,1.86273214727742,1,2,1,0,1,"BaselineStd, BandEnergy_5_10",1.17060074240043,1.89943073741767,1.17060074245358,3.90125147406336,0.670916448087309,1.17517052827785,1.271379646661,1.13326822722245,3.13982233409016,0.721506688254716,1.21998166730807
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_085,85,120,2048,2047.92135981978,-1.22558593742427e-11,-7.632e-06,3.58996733822524e-05,3.58909077434027e-05,-7.084e-05,0.9907607,8.259e-05,0.6806902,0.00015343,1.28820672388418e-09,3.085986265877e-05,2.3217572815534e-05,8.51626910119447e-06,-5.83674757281553e-05,-8.15850485436893e-05,1.06329281338508e-05,-2.79732272273407,5.86688312833539e-06,1.81236406126693,1.57342745044221e-05,5.05886327021591e-06,2.45739846282158e-06,8.00536224187965e-07,2.20702316521617e-09,1.51783321381349e-10,1.6203130500959e-10,4.00323413020972e-11,0.999961601474503,3.47980797416014e-05,16.4363222152046,11.6735688858451,1.52195725644684,1,1,1,0,1,"BandEnergy_10_30",1.16187833653551,1.05994806254493,1.16187833659835,0.304006237685538,1.62707593944797,0.0833260319284139,0.225640092750169,0.965772787637047,1.89323081189562,3.59362680101647,1.19483647748664
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_095,95,120,2048,2047.92135981978,1.03339843740375e-11,-1.6445e-06,2.89611795947564e-05,2.89541081309501e-05,-6.729e-05,0.6709242,6.385e-05,0.8906592,0.00013114,8.38372569929251e-10,2.29412468592712e-05,-4.37003883495146e-05,7.53567800433119e-06,3.32811650485437e-05,7.69815533980583e-05,9.1333314200278e-06,-2.93266190853463,4.9198578484063e-06,1.85642181157209,1.2539956836051e-05,3.10791885375261e-06,1.49108103047603e-06,9.01196847374781e-07,1.49284666877671e-09,4.99232984125509e-11,6.00730766843577e-11,5.88506577542022e-11,1.99992320294901,2.84685491614735e-05,19.2733659409469,12.9727433631731,1.17586863521012,1,1,1,0,1,"BandEnergy_30_80",0.249980319415393,0.00142850143200181,0.249980319398966,0.0186819628675,1.41071739557692,0.180900379886484,0.189286952379742,0.0986873260953837,0.487667390329877,0.271917986240676,3.56424325941895
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_101,101,120,2048,2047.92135981978,-3.39062500025738e-11,2.14e-06,3.78770070088874e-05,3.78677585636398e-05,-0.0001305,0.4922064,7.991e-05,0.1396538,0.00021041,1.43402220297224e-09,2.64733304626359e-05,1.05934981553398e-05,6.94735255389527e-06,1.35340786407767e-05,2.94058048543689e-06,2.48116186939485e-05,2.43401592477888,3.78981674257972e-06,6.54691780046483,1.55044582277569e-05,4.19036396104306e-06,4.16501212914363e-06,8.14545217048593e-07,2.21273920862979e-09,1.12838266926747e-10,4.8537288126539e-10,4.93322414281761e-11,0.999961601474503,3.27761941507083e-05,17.2459318815614,4.34926917870121,4.73358348299243,3,4,1,0,1,"BandEnergy_10_30, PeakToPeak, SNR4Hz, Amp4Hz",1.56423015553069,3.77314844905933,1.56423015560411,0.152504103413937,0.00774759817597872,2.58158739539694,3.68095739532522,0.97429239063784,0.982920687923435,14.1278090997353,2.36578322429617
mdx5Cv_662,saw4Hzhigh_s1_c2_5cv662.csv,high,saw4Hzhigh_s1_c2_5cv662_curve_015,15,120,2048,2047.92135981978,3.92382812495388e-11,4.373e-06,5.41045689075297e-05,5.40913581714399e-05,-0.0002048,0.0693386,0.0002594,0.0283214,0.0004642,2.9259873824321e-09,3.5209731308406e-05,0.000137147281553398,7.26613820779565e-05,-4.43982524271845e-05,-0.000181545533980583,1.72775125649636e-05,-0.373485543512841,1.60350363721989e-05,1.07748508726052,1.82450295880355e-05,1.83854349659879e-05,7.54112668655418e-06,1.28016243070954e-06,2.49671797027254e-09,1.69704781824267e-09,1.51004337101223e-09,1.12594650249165e-10,0.999961601474503,2.82180436937674e-05,16.6733885564962,2.58453528124096,17.6494240570146,7,8,1,0,1,"BandEnergy_10_30, BandEnergy_5_10, BaselineStd, PeakToPeak, BandEnergy_30_80, RMSVal, StdVal, Drift",3.60928228452029,10.9403749822819,3.60928228451232,14.5058223767202,2.92395380030159,0.894509347577534,0.810183306611757,0.72295650374578,28.0598524270265,47.3820304458814,5.23626745824697
mdx5Cv_662,saw4Hzhigh_s1_c2_5cv662.csv,high,saw4Hzhigh_s1_c2_5cv662_curve_017,17,120,2048,2047.92135981978,2.1936035155659e-10,1.0965e-05,4.24823719156963e-05,4.24719989770493e-05,-0.0001268,0.0644556,7.08e-05,0.3227663,0.0001976,1.80393996574124e-09,3.2981218270971e-05,-0.000102832815533981,1.53089488386391e-05,1.24199932038835e-05,0.000115252808737864,1.82185879076401e-05,1.87657546959968,5.59804596392129e-06,3.25445486234554,1.84378239038681e-05,7.04592616554756e-06,2.42074357830193e-06,1.08506448014e-06,3.0754180709188e-09,2.7935609294969e-10,1.47168932410441e-10,8.45181415470872e-11,0.999961601474503,4.39363831204797e-05,17.5226643854946,14.4797501708406,2.05740675601059,0,3,0,1,1,"BandEnergy_5_10, BandEnergy_30_80, BandEnergy_10_30",1.626563252997,1.72123955667508,1.6265632528982,1.53077353317863,1.95116322977707,1.04094493154461,0.819404723548445,1.43808704651528,3.37546944574051,2.87340599133886,2.94693403033983
mdx5Cv_662,saw4Hzhigh_s1_c2_5cv662.csv,high,saw4Hzhigh_s1_c2_5cv662_curve_019,19,120,2048,2047.92135981978,-9.53149414022571e-11,3.236e-05,9.26052041128274e-05,9.2582592659942e-05,-0.000253,0.0922887,0.0001611,0.024415,0.0004141,8.57186561063696e-09,7.19392542729105e-05,1.72818058252427e-05,0.00011316454109359,9.70741451456311e-06,-7.57439131067961e-06,4.67015876869899e-05,0.792288090046866,1.6575148283283e-05,2.81756681075761,3.95811960231873e-05,1.90473032512692e-05,6.04548047629938e-06,1.21912427751447e-06,1.39866395254959e-08,1.93353421031197e-09,1.07568117118558e-09,1.10516361943884e-10,0.999961601474503,9.01071954064622e-05,12.7563695932564,13.4211801247859,17.2365998848931,9,9,1,0,1,"BandEnergy_10_30, BandEnergy_5_10, BaselineStd, BandEnergy_0_5, RMSVal, StdVal, PeakToPeak, Amp4Hz, BandEnergy_30_80",10.1773986401987,9.20789679464908,10.1773986401735,23.6689988430554,0.0663580583440439,5.47302865181372,0.492368699651467,14.9216646584355,32.1774758620471,33.1966708252494,5.06680568717726
mdx5Cv_662,saw4Hzhigh_s1_c2_5cv662.csv,high,saw4Hzhigh_s1_c2_5cv662_curve_022,22,120,2048,2047.92135981978,1.15136718738004e-11,6.779e-06,3.2140792267193e-05,3.21329444359788e-05,-7.685e-05,0.4111486,6.778e-05,0.6391847,0.00014463,1.03256576712864e-09,2.574158492328e-05,2.05907669902913e-05,7.85948307336229e-06,-4.35539805825243e-05,-6.41447475728155e-05,9.25504665844241e-06,-2.06444350478394,5.7614424494745e-06,1.60637665641004,1.41172579233377e-05,3.77838310432853e-06,2.59185352079472e-06,8.64179130693519e-07,1.73288683028743e-09,7.69904992588772e-11,1.88084737646762e-10,5.0427221332468e-11,1.99992320294901,2.77580926296883e-05,17.9339242833628,7.58819663539721,1.32052512083167,1,1,1,0,1,"BandEnergy_10_30",0.137685520415061,0.110484387414905,0.137685520414521,0.154546107217983,0.995565090584036,0.353822668577761,0.414277318295936,0.220950326600002,0.14805384763768,4.20963048710895,0.167190862712041
